Country,Code,Calling Code,Year,CO2 emission (Tons),Population(2022),Area,% of World,Density(km2)
Ecuador,EC,593,1750,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1751,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1752,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1753,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1754,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1755,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1756,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1757,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1758,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1759,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1760,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1761,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1762,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1763,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1764,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1765,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1766,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1767,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1768,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1769,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1770,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1771,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1772,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1773,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1774,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1775,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1776,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1777,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1778,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1779,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1780,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1781,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1782,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1783,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1784,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1785,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1786,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1787,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1788,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1789,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1790,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1791,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1792,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1793,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1794,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1795,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1796,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1797,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1798,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1799,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1800,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1801,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1802,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1803,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1804,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1805,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1806,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1807,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1808,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1809,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1810,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1811,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1812,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1813,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1814,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1815,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1816,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1817,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1818,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1819,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1820,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1821,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1822,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1823,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1824,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1825,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1826,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1827,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1828,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1829,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1830,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1831,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1832,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1833,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1834,0,18001000,276841,0.20%,65/km²
Ecuador,EC,593,1835,0,18001000,276841,0.20%,65/km²
